bag_verblijfsobject_id,nummer,soort_woning
0599010000027873,87411000001,Onzelfstandig
0599010000334374,11422000002,Zelfstandig
0599010000124156,11371000006,Zelfstandig
0599010000034556,79661000034,Zelfstandig
0599010000377381,67891000023,Zelfstandig
0599010000293981,87712000028,Zelfstandig
0599010000163238,74292000017,Zelfstandig
0599010000096371,44902000049,Zelfstandig
0599010000272484,74231000026,Zelfstandig
0599010000297413,88233000001,Onzelfstandig
0599010000246830,88081000011,Onzelfstandig
0599010000165055,88141000034,Onzelfstandig
0599010000408956,77251000034,Zelfstandig
0599010000183205,89621000158,Zelfstandig
0599010000138887,71501000031,Zelfstandig
0599010000052529,77722000027,Zelfstandig
0599010400028322,11451000007,Zelfstandig
0599010000288497,45902000016,Zelfstandig
0599010000078478,88232000001,Zelfstandig
0599010000253432,87609000053,Zelfstandig
0599010000095739,87719000006,Zelfstandig
0599010000083220,77772000035,Zelfstandig
0599010000048885,48361000134,Zelfstandig
0599010000248960,11065000009,Zelfstandig
0599010000057040,44875000001,Zelfstandig
0599010000033602,90711000014,Zelfstandig
0599010000104566,11641000028,Zelfstandig
0599010000019933,44902000076,Zelfstandig
0599010000323867,74931000002,Zelfstandig
0599010000110961,71361000063,Zelfstandig
0599010000379162,88191000038,Zelfstandig
0599010000074394,85071000071,Zelfstandig
0599010000482761,77792000012,Onzelfstandig
0599010000482785,77792000061,Onzelfstandig
0599010000488488,77212000012,Onzelfstandig
0599010000488271,77122000000,Onzelfstandig
0599010000181813,71545000003,Onzelfstandig
0599010000488558,77898000027,Onzelfstandig
0599010400005759,77795000002,Onzelfstandig
0599010400003115,36370000031,Onzelfstandig
0599010400006477,42009000016,Onzelfstandig
0599010000246302,11771000011,Zelfstandig
0599010400019659,75074000040,Onzelfstandig
0599010400019649,75074000025,Onzelfstandig
0599010400019833,77744000020,Onzelfstandig
0599010400019882,77744000048,Onzelfstandig
0599010400019110,87352000023,Onzelfstandig
0599010400019127,87352000040,Onzelfstandig
0599010000486868,17000000210,Zelfstandig
0599010000486588,17000000473,Zelfstandig
0599010000415235,18000000042,Onzelfstandig
0599010400026894,19000000220,Onzelfstandig
0599010400027087,14000000041,Onzelfstandig
0599010400025942,10005000043,Onzelfstandig
0599010400027394,16002000181,Onzelfstandig
0599010000298312,10010000002,Onzelfstandig
0599010000069513,10011000006,Onzelfstandig
0599010000071568,14001000210,Onzelfstandig
0599010000360248,20004000147,Zelfstandig
0599010000277228,14003000021,Zelfstandig
0599010400028356,18003000013,Onzelfstandig
0599010000116094,16002000020,Zelfstandig
0599010000090813,16001000002,Onzelfstandig
0599010400025988,20002000021,Onzelfstandig
0599010000486690,17000000065,Zelfstandig
0599010000479883,42022000015,Zelfstandig
0599010000480564,25070000048,Onzelfstandig
0599010000487185,17000000540,Onzelfstandig
0599010000486651,17000000026,Zelfstandig
0599010000480554,25072000047,Zelfstandig
0599010400027599,47021000041,Onzelfstandig
0599010000226153,49000000075,Onzelfstandig
0599010000346638,45004000143,Zelfstandig
0599010400027561,47016000003,Onzelfstandig
0599010400028221,44000000185,Onzelfstandig
0599010400025624,45004000090,Onzelfstandig
0599010000134023,42034000016,Onzelfstandig
0599010000281342,77745000000,Onzelfstandig
0599010400020469,48001000004,Onzelfstandig
0599010000297579,24004000131,Onzelfstandig
0599010000256467,77746000048,Onzelfstandig
0599010400026922,41155000015,Onzelfstandig
0599010400035251,23133000058,Onzelfstandig
0599010400034949,82116000003,Onzelfstandig
0599010110001131,74923000049,Onzelfstandig
0599010400043906,12002000001,Onzelfstandig
0599010110008851,77774000035,Onzelfstandig
0599010000325607,51159000030,Onzelfstandig
0599010110007840,51072000001,Onzelfstandig
0599010110023410,51160000018,Onzelfstandig
0599010110017087,36205000030,Onzelfstandig
0599010000325592,51161000059,Onzelfstandig
0599010000408822,71534000002,Zelfstandig
0599010000408823,71534000003,Zelfstandig
0599010000028880,90761000077,Zelfstandig
0599010000125441,90792000021,Zelfstandig
0599010000132717,71876000004,Zelfstandig
0599010000078611,71351000006,Zelfstandig
0599010000249640,11011000002,Zelfstandig
0599010000130285,44882000014,Zelfstandig
0599010000323504,74251000025,Zelfstandig
0599010000124068,77572000049,Zelfstandig
0599010000249179,11562000019,Zelfstandig
0599010000421917,71141000009,Zelfstandig
0599010000060932,71351000052,Zelfstandig
0599010000250693,87701000032,Zelfstandig
0599010000336780,87761000031,Zelfstandig
0599010000141805,85551000074,Zelfstandig
0599010000055988,90161000008,Zelfstandig
0599010000122681,77441000044,Zelfstandig
0599010000078167,71232000050,Zelfstandig
0599010000322980,74201000075,Zelfstandig
0599010000199609,71351000048,Zelfstandig
0599010000248620,11032000041,Zelfstandig
0599010000250396,87613000028,Zelfstandig
0599010000252545,88041000017,Zelfstandig
0599010000310064,11651000059,Zelfstandig
0599010000031806,48464000059,Zelfstandig
0599010000252304,88221000043,Zelfstandig
0599010000074436,89611000100,Zelfstandig
0599010000247392,11821000001,Onzelfstandig
0599010000323636,74251000170,Zelfstandig
0599010000298325,74282000016,Zelfstandig
0599010000077286,74522000015,Zelfstandig
0599010000141017,49401000076,Zelfstandig
0599010000332242,85051000016,Zelfstandig
0599010000190075,49401000038,Zelfstandig
0599010000222999,71031000017,Zelfstandig
0599010000340086,44931000075,Zelfstandig
0599010000022946,45934000063,Zelfstandig
0599010000297929,45951000024,Zelfstandig
0599010000326974,74291000027,Zelfstandig
0599010000060922,45901000014,Zelfstandig
0599010000053832,77451000045,Zelfstandig
0599010000482748,77793000038,Onzelfstandig
0599010000244205,41128000042,Onzelfstandig
0599010000484797,36361000049,Onzelfstandig
0599010000484968,82031000096,Onzelfstandig
0599010000488527,77898000004,Onzelfstandig
0599010000193887,25053000002,Onzelfstandig
0599010000487624,51070000044,Onzelfstandig
0599010400001393,36358000019,Onzelfstandig
0599010400001202,36362000005,Onzelfstandig
0599010000318785,23109000051,Onzelfstandig
0599010400004366,51010000008,Onzelfstandig
0599010400007721,77885000016,Onzelfstandig
0599010000158343,48000000067,Onzelfstandig
0599010400019634,75074000003,Onzelfstandig
0599010400027047,10006000078,Onzelfstandig
0599010400027185,10009000052,Onzelfstandig
0599010000346865,16002000158,Zelfstandig
0599010000486849,17000000219,Zelfstandig
0599010000341482,19000000117,Zelfstandig
0599010400026796,19000000126,Onzelfstandig
0599010400027997,15004000249,Onzelfstandig
0599010400027999,15004000252,Onzelfstandig
0599010400002542,12204000005,Zelfstandig
0599010000156247,19002000083,Zelfstandig
0599010000071342,20001000037,Zelfstandig
0599010400026128,20002000198,Onzelfstandig
0599010000051976,49000000085,Onzelfstandig
0599010000479868,42022000005,Zelfstandig
0599010400026752,19000000093,Onzelfstandig
0599010000360210,20004000121,Zelfstandig
0599010000240465,37000000049,Onzelfstandig
0599010000360097,20004000059,Zelfstandig
0599010400026860,19000000186,Onzelfstandig
0599010400025777,20001000148,Onzelfstandig
0599010000048418,20000000054,Onzelfstandig
0599010000183997,49000000186,Zelfstandig
0599010400027561,47016000007,Onzelfstandig
0599010000186083,49000000151,Onzelfstandig
0599010000276566,77745000001,Onzelfstandig
0599010000138874,71524000151,Zelfstandig
0599010400029479,81020000005,Onzelfstandig
0599010400026912,41155000005,Onzelfstandig
0599010000240982,77747000050,Onzelfstandig
0599010400033549,51128000012,Onzelfstandig
0599010400034948,82116000002,Onzelfstandig
